Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,51.605000,57.000000,47.509998,56.459999,31.442144,106064210
2005-02-01,56.599998,59.985001,55.025002,58.730000,32.706295,56268490
2005-03-01,58.700001,62.860001,50.799999,54.485001,30.342287,61411460
2005-04-01,54.599998,63.224998,51.610001,53.500000,29.793743,44666590
2005-05-01,53.500000,55.490002,44.799999,53.955002,30.047134,43666190
2005-06-01,54.150002,109.199997,53.400002,63.605000,38.639618,82449510
2005-07-01,61.625000,146.000000,53.790001,139.889999,84.982254,149317480
2005-08-01,68.989998,76.500000,62.825001,64.025002,38.894772,76293750
2005-09-01,64.964996,74.000000,62.924999,68.514999,41.622414,98678490
2005-10-01,68.514999,71.500000,60.299999,60.665001,36.853588,82671210
2005-11-01,62.400002,141.399994,61.549999,137.380005,83.457458,197784445
2005-12-01,68.709999,74.849998,67.650002,70.875000,43.056099,73049490
2006-01-01,70.875000,77.500000,68.000000,76.245003,46.318340,100439490
2006-02-01,76.500000,77.500000,70.599998,73.714996,44.781380,101127390
2006-03-01,73.500000,81.199997,72.099998,77.425003,47.035183,119442030
2006-04-01,77.425003,168.600006,74.089996,165.160004,100.333618,99659330
2006-05-01,83.900002,89.500000,71.000000,74.519997,45.270409,125765780
2006-06-01,76.000000,81.480003,61.520000,79.595001,51.612358,110543310
2006-07-01,80.000000,81.599998,68.000000,79.500000,51.550766,81523000
2006-08-01,79.599998,87.000000,76.404999,85.205002,55.250092,68446330
2006-09-01,85.250000,95.470001,81.514999,92.535004,60.003139,77161750
2006-10-01,93.000000,106.495003,88.629997,100.459999,65.141991,103906630
2006-11-01,101.440002,115.000000,98.514999,112.180000,72.741684,116799590
2006-12-01,112.500000,113.480003,99.125000,106.794998,69.249840,78119650
2007-01-01,107.980003,116.000000,98.110001,107.860001,69.940430,103311440
2007-02-01,108.004997,112.500000,90.000000,93.500000,60.628872,123606040
2007-03-01,96.000000,103.199997,88.355003,95.415001,61.870636,135783640
2007-04-01,91.010002,104.500000,89.489998,102.415001,66.409698,116438740
2007-05-01,102.500000,115.985001,95.754997,114.760002,74.414658,170096770
2007-06-01,114.699997,236.839996,107.099998,229.350006,159.501938,164627235
2007-07-01,116.500000,125.500000,112.209999,120.059998,83.495995,114106670
2007-08-01,118.889999,119.699997,105.120003,117.169998,81.486122,131526480
2007-09-01,121.830002,145.899994,114.055000,143.559998,99.839119,85048070
2007-10-01,144.000000,171.839996,130.500000,165.339996,114.986053,119439060
2007-11-01,172.839996,179.979996,142.500000,171.615005,119.350037,131396350
2007-12-01,173.500000,179.880005,161.654999,172.910004,120.250626,88811360
