Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,29.000000,30.400000,25.209999,28.830000,26.823046,10049170
2005-02-01,28.400000,33.900002,28.100000,32.904999,30.614370,11018680
2005-03-01,33.389999,39.880001,30.500000,33.945000,31.581978,23103990
2005-04-01,34.590000,35.759998,28.525000,30.305000,28.195370,4822470
2005-05-01,30.500000,41.380001,29.655001,37.345001,34.745285,16256760
2005-06-01,37.849998,42.000000,37.000000,39.285000,36.550240,47958470
2005-07-01,39.060001,46.279999,39.009998,42.615002,39.648418,16725680
2005-08-01,43.099998,61.174999,41.240002,50.025002,47.986401,18867786
2005-09-01,50.737499,55.750000,47.500000,49.950001,47.914459,18144888
2005-10-01,51.125000,51.250000,40.662498,43.025002,41.271660,12577452
2005-11-01,44.250000,54.825001,43.500000,53.174999,51.008030,18221432
2005-12-01,53.250000,63.750000,53.250000,55.849998,53.574017,42201632
2006-01-01,56.887501,62.187500,54.750000,58.500000,56.116020,20324124
2006-02-01,59.099998,64.974998,56.250000,57.325001,54.988911,17139828
2006-03-01,57.750000,73.500000,57.025002,69.812500,66.967514,39709844
2006-04-01,70.687500,80.949997,63.000000,77.724998,74.557564,10133080
2006-05-01,79.187500,99.987503,65.099998,73.599998,70.600662,20253992
2006-06-01,75.000000,77.750000,52.500000,61.000000,58.514141,39394424
2006-07-01,61.000000,71.375000,57.250000,71.000000,68.106636,33824052
2006-08-01,71.000000,87.425003,68.400002,78.074997,75.617661,20183100
2006-09-01,78.500000,86.250000,75.300003,83.349998,80.726616,18099504
2006-10-01,83.349998,89.224998,79.775002,86.787498,84.055923,8632756
2006-11-01,87.462502,103.250000,85.650002,95.349998,92.348923,23471464
2006-12-01,95.000000,104.949997,90.537498,99.949997,96.804161,11944868
2007-01-01,99.949997,123.750000,95.224998,116.712997,113.039543,28467252
2007-02-01,117.250000,132.212006,100.574997,106.224998,102.881653,34249216
2007-03-01,105.250000,120.250000,100.500000,119.849998,116.077820,41400172
2007-04-01,115.000000,136.750000,110.474998,135.875000,131.598419,58301456
